order_id,symbol,side,timestamp_entry,timestamp_exit,entry_price,exit_price,qty,fee_usd,pnl_usd,source
crp_aave_1773031081,AAVE,BUY,2026-03-09T04:38:01Z,2026-03-09T04:50:01Z,107.39,107.27,0.27935562,0.029966,-0.063489,sim_orders
crp_eth_1773031201,ETH,BUY,2026-03-09T04:40:01Z,2026-03-09T04:52:01Z,1985.59,1984.24,0.01510886,0.02998,-0.050377,sim_orders
crp_near_1773031801,NEAR,BUY,2026-03-09T04:50:01Z,2026-03-09T05:02:01Z,1.24,1.24,24.19354839,0.03,-0.03,sim_orders
crp_flow_1773051961,FLOW,BUY,2026-03-09T10:26:01Z,2026-03-09T10:38:01Z,0.044539,0.044955,673.56305426,0.03028,0.249922,sim_orders
crp_flow_1773052681,FLOW,BUY,2026-03-09T10:38:01Z,2026-03-09T10:42:02Z,0.044955,0.045558,667.3276176,0.030402,0.371997,sim_orders
crp_flow_1773052922,FLOW,BUY,2026-03-09T10:42:02Z,2026-03-09T10:44:02Z,0.045558,0.046169,658.50313019,0.030402,0.371943,sim_orders
crp_flow_1773053042,FLOW,BUY,2026-03-09T10:44:02Z,2026-03-09T10:48:02Z,0.046169,0.046901,649.78088306,0.030475,0.445165,sim_orders
crp_flow_1773053402,FLOW,BUY,2026-03-09T10:50:02Z,2026-03-09T10:54:01Z,0.04677,0.046079,641.43668133,0.029557,-0.47279,sim_orders
crp_flow_1773053641,FLOW,BUY,2026-03-09T10:54:01Z,2026-03-09T10:56:01Z,0.046079,0.046831,651.05593677,0.03049,0.459104,sim_orders
crp_flow_1773053761,FLOW,BUY,2026-03-09T10:56:01Z,2026-03-09T10:58:01Z,0.046831,0.046296,640.59583954,0.029657,-0.372376,sim_orders
crp_flow_1773053881,FLOW,BUY,2026-03-09T10:58:01Z,2026-03-09T11:02:01Z,0.046296,0.046735,648.00610681,0.030285,0.25419,sim_orders
